text,label
DET VERB NOUN ADP DET ADJ NOUN ADP DET NOUN ADP PROPN CCONJ NOUN ADP DET PROPN AUX VERB NOUN SCONJ,DIFFICULT
NOUN AUX ADJ ADP DET NOUN NOUN SCONJ PRON,DIFFICULT
WHAT NOUN ADP DET PROPN NOUN VERB ADJ NOUN VERB DET NOUN PART,EASY
DET NOUN NOUN ADJ NOUN AUX ADJ NOUN ADP NOUN ADP DET ADJ NOUN ADJ ADP DET ADJ NOUN AUX ADV VERB ADP,EASY
WHAT AUX DET NOUN ADP NOUN NOUN ADV ADP DET ADJ NOUN,EASY
PRON VERB ADJ ADJ NOUN ADP NOUN NOUN ADP PROPN WHICH ADP DET NOUN VERB DET NOUN NOUN VERB ADP ADJ,EASY
WHICH NOUN ADV VERB DET NOUN ADP AUX VERB ADP NOUN,EASY
WHEN DET ADJ NOUN VERB ADP DET ADJ NOUN AUX VERB WHAT NOUN ADP NOUN AUX PRON,EASY
DET NOUN NOUN VERB ADJ NOUN ADP NOUN ADV ADP,EASY
PROPN VERB DET NOUN CCONJ VERB PART VERB WHAT NOUN PRON AUX WHICH NOUN ADP NOUN ADP DET NOUN AUX ADV VERB PRON PART VERB PRON,EASY
WHAT AUX DET NOUN ADP NOUN ADP DET ADJ NOUN,DIFFICULT
WHICH NOUN ADP NOUN AUX VERB ADJ NOUN NOUN SCONJ PRON AUX VERB ADV,EASY
NOUN NOUN AUX NOUN ADP DET ADJ NOUN ADP ADJ NOUN NOUN ADP ADJ NOUN WHICH PROPN AUX ADJ ADP ADJ NOUN ADP DET NOUN,EASY
WHICH NOUN NOUN AUX ADJ ADP VERB ADP NOUN ADP NOUN PRON PRON VERB,EASY
NOUN AUX VERB WHEN NOUN AUX VERB ADP ADJ NOUN CCONJ NOUN DET NOUN VERB,EASY
WHICH NOUN AUX VERB NOUN NOUN NOUN CCONJ AUX VERB ADP DET NOUN,EASY
WHICH ADP PRON VERB DET ADJ NOUN ADP NOUN ADP DET NOUN,EASY
DET NOUN ADP NOUN ADP DET NOUN AUX VERB SCONJ PRON VERB ADP DET NOUN ADP PROPN PRON VERB DET NOUN ADP,DIFFICULT
NOUN AUX VERB DET NOUN NOUN ADP DET NOUN PRON AUX NOUN ADP DET ADJ NOUN NOUN WHAT NOUN AUX VERB WHEN VERB DET NOUN ADP DET NOUN,DIFFICULT
DET NOUN AUX VERB ADP DET NOUN NOUN CCONJ VERB ADP DET NOUN SCONJ DET NOUN AUX ADJ DET NOUN NOUN,DIFFICULT
DET NOUN ADP NOUN CCONJ NOUN ADP DET PROPN PROPN ADV ADV VERB WHICH NOUN,DIFFICULT
DET NOUN NOUN AUX ADV NUM NOUN ADJ WHEN PRON AUX ADP DET NOUN PRON VERB ADP ADV NUM NOUN ADJ ADP ADJ NOUN WHICH VERB ADV ADV VERB DET NOUN VERB ADJ ADP ADJ NOUN,DIFFICULT
WHICH ADP DET NOUN ADP ADJ VERB DET ADJ NOUN ADP DET NOUN ADP PROPN,EASY
WHICH NOUN AUX ADV VERB ADP ADJ NOUN AUX VERB ADP DET NOUN,EASY
ADJ NOUN AUX VERB ADP ADP DET NOUN ADP DET NOUN SCONJ,DIFFICULT
WHICH ADP PRON AUX AUX VERB ADP NOUN NOUN ADP NOUN PART VERB,EASY
PROPN VERB PRON NOUN DET PROPN NOUN ADP DET NOUN SCONJ PRON VERB PRON VERB DET NOUN PART VERB SCONJ PRON NOUN AUX ADP NOUN WHICH AUX ADV ADJ ADP DET NOUN ADP ADJ NOUN ADP PRON NOUN,EASY
PROPN AUX DET ADJ NOUN CCONJ NOUN ADP VERB NOUN PROPN AUX DET NOUN ADP,EASY
WHICH ADP DET VERB AUX ADV ADJ VERB ADP DET ADJ NOUN NOUN,EASY
WHICH NOUN AUX VERB ADJ NOUN CCONJ NOUN VERB ADP NOUN,EASY
WHAT AUX DET ADJ NOUN ADP DET NOUN PRON VERB DET NOUN ADP DET NOUN,EASY
ADP WHICH NOUN ADP DET NOUN AUX VERB ADV ADV VERB NOUN,EASY
WHICH ADJ NOUN AUX VERB DET NOUN NOUN PART VERB ADP DET NOUN ADJ ADP ADV ADV,EASY
WHAT AUX DET NOUN ADP DET NOUN ADP NOUN ADP NOUN NOUN VERB PART VERB DET NOUN ADP DET NOUN ADP NUM NOUN NOUN,EASY
ADP WHICH NOUN ADP NOUN NOUN AUX NOUN NOUN ADV VERB,EASY
ADJ NOUN ADV VERB ADJ ADJ ADP DET ADJ NOUN PRON AUX VERB ADP DET NOUN DET ADJ NOUN AUX PART VERB PRON NOUN VERB NOUN SCONJ PRON AUX ADJ VERB ADJ PROPN PRON AUX VERB PART VERB NOUN AUX DET NOUN ADP,EASY
ADJ NOUN AUX VERB ADP WHICH ADJ NOUN NOUN,EASY
NOUN ADP DET NOUN NOUN VERB ADJ NOUN NOUN ADP DET NOUN ADP DET NOUN WHICH NOUN AUX ADV AUX VERB ADP DET NOUN ADP DET NOUN,DIFFICULT
SCONJ DET ADJ PUNCT VERB NOUN PRON VERB NOUN VERB PRON NOUN ADP NOUN VERB,DIFFICULT
DET VERB NOUN AUX AUX VERB ADP DET NOUN ADP DET VERB NOUN PRON AUX VERB ADP DET NOUN ADP DET VERB NOUN NOUN SCONJ PRON,DIFFICULT
WHICH NOUN ADP ADJ NOUN NOUN NOUN,EASY
WHICH NOUN AUX ADV VERB ADP ADJ,EASY
PROPN VERB DET NOUN ADP NUM NOUN WHICH DET NOUN AUX PROPN ADV ADV VERB PART VERB,EASY
WHICH NOUN VERB ADJ NOUN NOUN,EASY
NOUN ADP DET ADJ NOUN AUX AUX VERB DET NOUN PRON NOUN VERB ADP PROPN NUM ADP DET NOUN AUX VERB AUX HOW DET NOUN ADP NOUN NOUN VERB DET NOUN WHICH NOUN ADP NOUN NOUN NOUN VERB DET NOUN ADV ADV VERB,DIFFICULT
WHEN NOUN VERB PART VERB DET NOUN ADP ADJ NOUN PRON ADV VERB,EASY
WHICH NOUN ADP NOUN AUX VERB NOUN,EASY
WHERE ADP DET NOUN AUX NOUN VERB,EASY
WHICH NUM ADJ NOUN NOUN VERB DET ADJ NOUN ADP NOUN ADP PRON,EASY
ADJ NOUN CCONJ ADJ NOUN VERB NOUN PRON VERB ADJ ADP DET NOUN ADP PRON NOUN SCONJ PRON VERB DET NOUN DET NOUN NOUN VERB ADV ADP VERB DET NOUN ADP NOUN PART WHICH ADJ NOUN,EASY
WHAT NOUN AUX VERB ADP ADJ NOUN CCONJ AUX DET ADV ADJ NOUN ADP PRON ADJ NOUN,EASY
DET NOUN ADP NOUN NOUN WHICH AUX VERB PART VERB ADJ NOUN AUX ADJ ADP DET NOUN ADP WHICH NOUN,EASY
WHAT AUX DET NOUN ADP NOUN CCONJ ADJ NOUN,EASY
WHICH VERB ADV ADV VERB ADJ NOUN,EASY
DET ADJ NOUN CCONJ PRON NOUN VERB ADJ NOUN DET NOUN AUX ADV VERB ADP,EASY
NOUN AUX VERB DET NOUN ADP ADJ NOUN ADP DET ADJ NUM NOUN WHICH NOUN AUX NOUN VERB NOUN ADP DET NOUN ADP NOUN,EASY
NOUN NOUN VERB DET NOUN VERB PROPN ADP NOUN DET NOUN VERB NOUN PRON VERB NOUN NOUN ADP VERB ADJ PUNCT WHEN NOUN SCONJ NOUN VERB DET NOUN PRON VERB DET WHICH PROPN PRON VERB DET ADJ NOUN ADP ADJ NOUN ADP DET ADJ NOUN NOUN VERB NOUN PRON VERB WHAT NOUN DET NOUN AUX PRON VERB ADP DET NOUN VERB ADP DET,DIFFICULT
ADV ADP DET DET NOUN PRON VERB NOUN NOUN VERB ADP ADJ NOUN NOUN ADP DET NOUN NOUN ADV ADP DET DET NOUN ADP DET NOUN VERB ADP ADJ NOUN WHICH ADJ NOUN VERB DET ADJ NOUN ADP DET NOUN,EASY
ADP NOUN ADJ NOUN AUX VERB ADP NOUN PART VERB VERB ADP DET NOUN ADV ADP WHICH NOUN AUX ADJ ADP DET NOUN VERB,EASY
NOUN NOUN AUX VERB ADP NOUN ADP DET NOUN ADP DET NOUN NOUN WHICH NOUN ADP DET NOUN VERB DET NOUN ADP DET NOUN,EASY
NOUN ADP ADP DET ADJ NOUN VERB ADP DET PROPN DET NOUN NOUN ADP DET NOUN NOUN DET NOUN ADP DET NOUN AUX ADV ADJ ADP WHICH NOUN,EASY
PROPN VERB DET ADJ NOUN ADP DET ADJ NOUN ADP DET ADJ NOUN DET NOUN VERB ADP ADP ADJ NOUN WHAT VERB DET NOUN PART VERB ADP,EASY
WHAT AUX DET NOUN VERB SCONJ PRON VERB DET ADJ ADJ NOUN ADP DET NOUN NOUN NOUN,DIFFICULT
PROPN VERB SCONJ NOUN ADP DET NOUN VERB ADJ NOUN NOUN ADP ADP ADJ NOUN WHICH NOUN VERB DET ADJ NOUN ADP NOUN ADP DET PROPN PROPN,EASY
NOUN VERB PROPN WHAT VERB ADJ NOUN ADJ ADP ADJ PROPN,EASY
WHICH NOUN VERB ADP DET NOUN CCONJ NOUN ADP NOUN,EASY
WHICH ADJ AUX ADJ ADP NOUN,EASY
