text,label
PROPN PROPN AUX DET NOUN ADP NOUN PRON VERB PROPN CCONJ PROPN ADP PROPN PUNCT DET NOUN PART,EASY
WHAT AUX DET ADJ NOUN NOUN ADP PROPN,EASY
ADP WHAT NOUN AUX DET PROPN PROPN ADP PROPN NOUN,EASY
WHEN AUX ADJ NOUN VERB ADV ADP DET ADJ NOUN ADP DET NOUN,EASY
WHAT AUX PROPN PROPN VERB PART VERB ADP PRON ADV ADJ NOUN,EASY
ADP WHAT NOUN AUX DET PROPN NOUN VERB ADP DET PROPN PROPN PROPN,EASY
WHAT AUX PRON VERB WHEN PROPN NOUN AUX ADJ,DIFFICULT
ADP WHAT NOUN AUX PROPN VERB ADJ ADJ NOUN,EASY
WHAT AUX DET ADJ NOUN ADP PROPN PROPN,EASY
HOW AUX PROPN VERB ADP PROPN,EASY
ADP WHAT NOUN AUX PROPN ADP PROPN VERB ADP,EASY
HOW ADJ NOUN AUX PRON ADP PRON VERB,EASY
WHERE AUX DET ADJ NOUN VERB ADP PROPN PROPN,EASY
ADP WHAT NOUN AUX PROPN VERB ADP PROPN,EASY
ADP HOW ADJ PROPN NOUN AUX ADP PROPN,EASY
WHO AUX DET NOUN NOUN VERB ADP,EASY
WHO AUX DET ADJ PROPN PROPN PROPN,EASY
WHAT NOUN ADP DET NOUN NOUN AUX VERB ADP PRON NOUN,EASY
DET NOUN ADP DET ADJ ADJ NOUN VERB ADP DET PROPN PROPN VERB VERB ADV ADP ADV WHAT NOUN,EASY
WHAT AUX PROPN VERB ADP DET ADJ NOUN ADP DET NOUN ADP DET NOUN,EASY
WHEN AUX DET ADJ ADJ NOUN ADP PROPN,EASY
PROPN PROPN PROPN AUX DET NOUN ADP DET NOUN ADP WHICH NOUN,EASY
PROPN PROPN VERB PART VERB DET ADJ NOUN ADP PRON,EASY
HOW ADJ AUX ADJ NOUN NOUN,EASY
WHERE AUX DET NOUN VERB ADP,EASY
WHEN AUX DET ADJ NOUN ADP DET NOUN,EASY
SCONJ WHAT ADJ NOUN AUX NOUN VERB ADP PROPN,EASY
WHERE AUX DET ADV ADJ NOUN NOUN VERB,EASY
WHAT AUX VERB ADP NOUN VERB ADP ADJ NOUN NOUN NOUN,DIFFICULT
SCONJ DET NOUN ADP DET NOUN ADP PROPN PUNCT NOUN ADP PROPN NOUN NOUN AUX VERB WHICH PRON NUM PROPN,EASY
HOW ADJ NOUN AUX ADJ PROPN VERB ADV ADP NUM,EASY
WHAT NOUN VERB ADJ NOUN,EASY
WHAT AUX PROPN PROPN ADP ADJ NOUN,EASY
WHAT AUX PUNCT PROPN PUNCT,EASY
WHAT NOUN ADP NOUN AUX DET NOUN ADP DET PROPN PROPN ADP PROPN VERB,DIFFICULT
WHAT NOUN AUX ADV VERB ADP ADP PRON NOUN ADP PROPN,EASY
ADP ADP PROPN CCONJ PROPN WHERE SCONJ AUX PROPN VERB ADP DET PROPN,EASY
ADP WHICH NOUN AUX NOUN NOUN VERB DET NOUN,EASY
WHAT AUX PROPN VERB SCONJ PROPN AUX PART VERB,EASY
WHAT AUX DET ADJ NOUN VERB ADP ADP,EASY
WHAT NOUN ADP NOUN AUX VERB ADP PROPN NUM,EASY
WHAT AUX DET NOUN ADP ADJ NOUN WHERE NUM NOUN AUX PART VERB ADP DET,EASY
WHAT NOUN AUX PROPN NOUN PART VERB DET NOUN ADP NOUN,EASY
WHAT NOUN AUX DET PROPN PROPN NOUN,EASY
ADP WHOM AUX DET ADJ NOUN ADP PROPN PROPN PART NOUN VERB PRON,EASY
WHAT NOUN ADP PRON AUX PROPN AUX PART VERB NOUN,EASY
ADP WHAT NOUN AUX DET DET PROPN PROPN PROPN VERB,EASY
WHAT AUX PROPN CCONJ PROPN NOUN NOUN VERB ADV,EASY
ADP WHAT ADJ NOUN AUX ADJ NOUN VERB PRON ADJ ADJ NOUN VERB NOUN,EASY
HOW ADJ ADJ PROPN NOUN NOUN AUX PROPN VERB,EASY
WHAT PROPN AUX DET NOUN ADP DET NOUN ADP ADJ NOUN VERB ADP PROPN,EASY
WHAT NOUN VERB DET NOUN ADP DET ADJ NOUN,EASY
WHAT AUX DET ADJ PROPN PROPN NOUN ADP,EASY
ADP WHAT NOUN AUX PROPN VERB,EASY
WHO VERB DET NOUN ADP PROPN,EASY
WHEN AUX DET PROPN PROPN VERB DET PROPN PROPN PROPN PROPN ADP PROPN PROPN,EASY
WHERE AUX PROPN ADP PROPN ADV VERB ADP,EASY
WHEN AUX DET PROPN NOUN NOUN,EASY
ADP WHAT NOUN NOUN AUX PROPN PROPN PROPN VERB ADP PROPN,EASY
WHAT AUX DET NOUN ADP DET PROPN PROPN NUM PROPN,EASY
WHICH NOUN ADP DET PROPN NOUN AUX DET NOUN VERB ADP,EASY
WHAT NOUN AUX NOUN ADP PROPN PROPN,EASY
HOW ADJ ADJ NOUN NOUN NOUN VERB PROPN PROPN NOUN,EASY
ADP DET NOUN ADP DET NOUN NOUN HOW SCONJ AUX NOUN,DIFFICULT
ADP NUM WHAT AUX PROPN PROPN VERB PRON NOUN ADP,EASY
HOW ADJ ADJ NOUN AUX ADV ADP DET NOUN NOUN,EASY
WHAT AUX DET NOUN ADP NOUN PRON AUX AUX VERB ADP PROPN,EASY
DET ADJ NOUN NOUN NOUN VERB NOUN ADP PROPN ADP WHAT NOUN,EASY
WHO VERB PROPN PROPN,EASY
WHAT AUX PROPN VERB ADP,EASY
ADP WHAT NOUN AUX NOUN VERB,EASY
HOW ADJ ADJ NOUN VERB ADP PROPN,EASY
WHAT NOUN ADP PROPN ADV VERB ADP DET NOUN ADP DET ADJ NOUN,EASY
WHAT AUX PROPN PROPN PROPN CCONJ PROPN PROPN NOUN,EASY
WHAT AUX VERB,DIFFICULT
WHO AUX DET ADV VERB NOUN ADP PROPN PROPN ADJ NOUN,EASY
WHAT NOUN ADP DET PROPN AUX VERB ADJ CCONJ ADJ NOUN,EASY
WHAT NOUN ADP NOUN ADP NOUN ADP VERB NOUN ADP DET PROPN PROPN ADV AUX VERB ADP PROPN ADP NOUN,EASY
HOW ADJ ADJ NOUN ADP PROPN AUX AUX VERB,EASY
DET NOUN NOUN ADP DET PROPN PROPN ADP PROPN AUX VERB WHERE VERB ADP PROPN,EASY
WHOSE NOUN VERB PROPN PART VERB PRON NOUN VERB NOUN,EASY
HOW ADV AUX DET PROPN PROPN PROPN ADJ,EASY
WHAT NOUN ADP PROPN PART ADJ NOUN AUX,EASY
WHO VERB DET NUM PUNCT NOUN ADJ NOUN ADP ADJ,EASY
ADP WHAT NOUN AUX PROPN PROPN PART VERB DET NOUN ADP,EASY
WHO AUX VERB DET NOUN ADP PROPN PROPN ADP PROPN NUM NUM,EASY
WHEN AUX PROPN VERB ADP DET NOUN ADP ADJ NOUN,EASY
WHAT NOUN ADP PROPN VERB DET NOUN ADP DET NOUN PART VERB PROPN PART,EASY
ADP WHAT NOUN AUX DET NOUN NOUN VERB,EASY
PROPN PROPN CCONJ PROPN PROPN ADP PROPN NOUN WHAT NOUN ADP NOUN,EASY
WHAT AUX PRON VERB WHEN ADJ NOUN VERB ADP DET NOUN,EASY
WHAT NOUN ADP NOUN NOUN ADP PROPN AUX VERB ADJ NOUN CCONJ NOUN,EASY
WHEN AUX PROPN PROPN PROPN VERB DET NOUN,EASY
ADP WHAT NOUN AUX PROPN PART NOUN PUNCT PROPN PROPN,EASY
WHAT AUX DET PROPN NOUN NOUN ADP PROPN VERB,EASY
WHAT NOUN ADP NOUN AUX PROPN NOUN VERB,EASY
WHAT AUX DET NOUN VERB ADP DET NUM NOUN ADJ PUNCT NUM,EASY
WHO AUX DET PROPN PROPN VERB ADP,EASY
WHAT AUX ADV DET NOUN ADP NOUN CCONJ ADJ NOUN,EASY
WHAT ADJ NOUN NOUN VERB ADV NOUN,EASY
WHO VERB PUNCT PUNCT ADP ADJ NOUN PUNCT WHERE NOUN AUX SCONJ NOUN NOUN VERB PART VERB DET ADV ADJ NOUN PUNCT CCONJ PUNCT ADP NOUN,EASY
PRON PART NOUN AUX VERB ADP PROPN CCONJ PROPN,EASY
WHAT AUX NOUN ADV VERB WHEN DET NOUN VERB PART VERB NOUN ADV SCONJ PRON AUX PART AUX ADJ,DIFFICULT
WHICH NOUN VERB ADJ NOUN ADP VERB NOUN,EASY
WHAT ADJ PROPN AUX DET NOUN ADP DET PROPN,EASY
ADP WHAT NOUN AUX DET NOUN ADP PROPN VERB,EASY
WHAT NOUN VERB NOUN ADP PROPN PART NOUN ADP ADJ,EASY
WHAT NOUN AUX DET PROPN ADP,EASY
HOW ADV AUX PROPN PART NOUN SYM,EASY
ADP WHAT NOUN AUX PROPN VERB,EASY
WHERE AUX VERB ADP DET PROPN PUNCT PROPN PUNCT CCONJ DET,EASY
DET NOUN ADP NOUN NOUN AUX NOUN ADP WHAT NOUN,EASY
WHAT AUX VERB NOUN VERB ADP DET NOUN ADP PRON ADP PRON ADJ NOUN,EASY
ADP ADJ NOUN WHICH DET NOUN AUX ADJ PART VERB NOUN NOUN ADP ADJ,EASY
PRON AUX DET ADJ NOUN NOUN ADP DET ADJ NOUN NOUN PRON AUX DET ADJ NOUN SYM NOUN PUNCT ADV DET NOUN,EASY
WHAT AUX DET SPACE NOUN NOUN ADP,EASY
NUM ADJ ADJ NOUN AUX VERB ADP PROPN ADJ NOUN WHAT PRON AUX,EASY
ADP WHAT NOUN NOUN AUX DET NOUN VERB PROPN VERB PROPN,EASY
HOW AUX DET ADJ PROPN VERB PUNCT NOUN PUNCT,DIFFICULT
WHERE AUX DET PROPN VERB PART VERB ADJ NOUN ADP NUM,EASY
ADP WHAT NOUN AUX PROPN PROPN PROPN VERB,EASY
WHICH NOUN VERB PROPN PROPN VERB PRON NOUN,EASY
